title;author;soldBy;stars;price;isKindleUnlimited;isBestSeller;Genre;publishedYear
Holly;Stephen King;Simon and Schuster Digital Sales Inc;4.4;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
None of This Is True: A Novel;Lisa Jewell;Simon and Schuster Digital Sales Inc;4.4;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The River We Remember: A Novel;William Kent Krueger;Simon and Schuster Digital Sales Inc;4.7;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
12 Months to Live: Jane Smith has a year to live, unless they kill her first;James Patterson;Hachette Book Group;4.5;14.99;FALSE;TRUE;Mystery, Thriller & Suspense;2023
The Coworker: An Addictive Psychological Thriller;Freida McFadden;Amazon.com Services LLC;4.2;3.99;TRUE;TRUE;Mystery, Thriller & Suspense;2023
Remarkably Bright Creatures: A Read with Jenna Pick;Shelby Van Pelt;HarperCollins Publishers;4.6;15.71;FALSE;FALSE;Mystery, Thriller & Suspense;2022
Mother-Daughter Murder Night: A Reese Witherspoon Book Club Pick;Nina Simon;HarperCollins Publishers;4.2;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Identity: A Novel;Nora Roberts;Macmillan;4.7;7.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Verity;Colleen Hoover;Hachette Book Group;4.6;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2021
Out of Nowhere;Sandra Brown;Hachette Book Group;4.5;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Never Lie: An addictive psychological thriller;Freida McFadden;Amazon.com Services LLC;4.4;3.99;TRUE;TRUE;Mystery, Thriller & Suspense;2022
The Silent Patient;Alex Michaelides;Macmillan;4.4;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2019
Too Late: Definitive Edition;Colleen Hoover;Hachette Book Group;4.3;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Lion & Lamb: Two investigators. Two rivals. One hell of a crime.;James Patterson;Hachette Book Group;4.3;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Ritual: A Dark College Romance;Shantel Tessier;Amazon.com Services LLC;4.5;4.99;TRUE;TRUE;Mystery, Thriller & Suspense;2021
The Only One Left: A Novel;Riley Sager;Penguin Group (USA) LLC;4.4;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
A Flicker in the Dark: A Novel;Stacy Willingham;Macmillan;4.3;9.99;TRUE;FALSE;Mystery, Thriller & Suspense;2022
Bright Young Women: A Novel;Jessica Knoll;Simon and Schuster Digital Sales Inc;4.4;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Simply Lies: A Psychological Thriller;David Baldacci;Hachette Book Group;4.2;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Secret Hours;Mick Herron;Penguin Random House Publisher Services;4.7;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Yellowface: A Reese's Book Club Pick;R. F. Kuang;HarperCollins Publishers;4;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
